Name,Global ID,ID,Start,End,Length,Cassete type
NC_006513,1,1,1953763,1958388,4626,CAS-I-C
NC_006513,2,2,2227965,2230865,2901,CAS-VI-B
NC_006513,3,3,3504069,3508869,4801,CAS-VI-B
